municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
MALAMBO,2021,730,0.42876712328767125,0.09315068493150686,0.0027397260273972603,0.0,0.3410958904109589,0.00684931506849315,0.1273972602739726,0.3273972602739726,0.0,0.038356164383561646,0.0013698630136986301,0.04657534246575343,0.5863013698630137,0.9821917808219178,0.01780821917808219,0.2328767123287671,0.7671232876712328,0.0,1.0,0.4876712328767123,0.5123287671232877,0.0,0.0,1.0,0.0,0.0,0.9821917808219178,0.01643835616438356,0.0013698630136986301,0.17123287671232876,0.0,0.8287671232876712,0.028767123287671233,0.030136986301369864,0.03972602739726028,0.021917808219178082,0.012328767123287671,0.0136986301369863,0.036986301369863014,0.09863013698630137,0.16712328767123288,0.1863013698630137,0.16712328767123288,0.12876712328767123,0.0684931506849315
MALAMBO,2022,245,0.4326530612244898,0.2,0.004081632653061225,0.004081632653061225,0.2530612244897959,0.00816326530612245,0.09795918367346938,0.40816326530612246,0.0,0.07346938775510205,0.00816326530612245,0.00816326530612245,0.5020408163265306,0.9428571428571428,0.05714285714285714,0.2897959183673469,0.710204081632653,0.0,1.0,0.49387755102040815,0.5061224489795918,0.0,0.0,1.0,0.0,0.0,0.9673469387755103,0.0326530612244898,0.0,0.40816326530612246,0.00816326530612245,0.5836734693877551,0.07755102040816327,0.044897959183673466,0.044897959183673466,0.02857142857142857,0.0326530612244898,0.04081632653061224,0.04081632653061224,0.053061224489795916,0.05714285714285714,0.09387755102040816,0.1673469387755102,0.13877551020408163,0.17959183673469387
MALAMBO,2023,158,0.4050632911392405,0.2468354430379747,0.02531645569620253,0.0,0.25949367088607594,0.012658227848101266,0.05063291139240506,0.26582278481012656,0.006329113924050633,0.03164556962025317,0.0,0.06962025316455696,0.6265822784810127,1.0,0.0,0.35443037974683544,0.6455696202531646,0.0,1.0,0.4430379746835443,0.5569620253164557,0.0,0.0,1.0,0.0,0.0,0.9683544303797469,0.02531645569620253,0.006329113924050633,0.43670886075949367,0.0,0.5632911392405063,0.17721518987341772,0.15822784810126583,0.1518987341772152,0.06329113924050633,0.03164556962025317,0.02531645569620253,0.05063291139240506,0.06329113924050633,0.08860759493670886,0.0759493670886076,0.0379746835443038,0.0379746835443038,0.0379746835443038
MANATÍ,2017,4,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25
MANATÍ,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.5,0.25,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
MANATÍ,2019,49,0.46938775510204084,0.14285714285714285,0.0,0.0,0.14285714285714285,0.02040816326530612,0.22448979591836735,0.08163265306122448,0.0,0.0,0.0,0.04081632653061224,0.8775510204081632,0.9795918367346939,0.02040816326530612,0.32653061224489793,0.673469387755102,0.0,1.0,0.3673469387755102,0.6326530612244898,0.0,0.0,0.0,0.0,1.0,0.9183673469387755,0.08163265306122448,0.0,0.04081632653061224,0.0,0.9591836734693877,0.0,0.0,0.04081632653061224,0.0,0.08163265306122448,0.0,0.20408163265306123,0.20408163265306123,0.14285714285714285,0.061224489795918366,0.08163265306122448,0.16326530612244897,0.02040816326530612
MANATÍ,2020,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
MANATÍ,2021,48,0.4791666666666667,0.10416666666666667,0.0,0.0,0.2708333333333333,0.0,0.14583333333333334,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.9166666666666666,1.0,0.0,0.3125,0.6875,0.0,1.0,0.5416666666666666,0.4583333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.10416666666666667,0.0,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.2916666666666667,0.3125,0.22916666666666666,0.10416666666666667
MANATÍ,2022,137,0.5620437956204379,0.0948905109489051,0.014598540145985401,0.0072992700729927005,0.22627737226277372,0.0,0.0948905109489051,0.043795620437956206,0.0,0.0072992700729927005,0.021897810218978103,0.0364963503649635,0.8905109489051095,0.9562043795620438,0.043795620437956206,0.32116788321167883,0.6788321167883211,0.0,1.0,0.46715328467153283,0.5328467153284672,0.0,0.0,0.0,0.0,1.0,0.9927007299270073,0.0,0.0072992700729927005,0.3722627737226277,0.0,0.6277372262773723,0.043795620437956206,0.029197080291970802,0.043795620437956206,0.029197080291970802,0.08029197080291971,0.18248175182481752,0.17518248175182483,0.2116788321167883,0.11678832116788321,0.06569343065693431,0.0072992700729927005,0.014598540145985401,0.0
MANATÍ,2023,9,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4444444444444444,0.5555555555555556,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
