municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
PALMAR DE VARELA,2017,10,2,4,0,0,1,1,2,3,0,0,0,1,6,10,0,8,2,0,10,3,7,0,0,0,10,0,10,0,0,0,0,10,0,0,1,0,6,1,1,0,0,1,0,0,0
PALMAR DE VARELA,2018,6,1,2,0,0,3,0,0,2,0,0,0,0,4,6,0,5,1,0,6,4,2,0,0,0,6,0,6,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,2,2
PALMAR DE VARELA,2019,23,8,4,0,0,7,0,4,4,0,1,0,0,18,22,1,11,12,0,23,10,13,0,0,0,23,0,22,1,0,6,0,17,5,2,0,0,1,0,5,7,0,0,1,2,0
PALMAR DE VARELA,2020,16,3,6,2,0,3,1,1,5,0,2,0,1,8,16,0,11,5,0,16,10,6,0,0,0,16,0,16,0,0,3,0,13,3,11,1,0,1,0,0,0,0,0,0,0,0
PALMAR DE VARELA,2021,8,3,0,0,0,3,0,2,3,0,0,0,0,5,8,0,5,3,0,8,5,3,0,0,0,8,0,8,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,2,3,1
PALMAR DE VARELA,2022,16,7,4,2,0,2,0,1,6,0,0,0,0,10,15,1,5,11,0,16,10,6,0,0,0,16,0,14,1,1,4,0,12,1,0,0,2,0,0,0,4,1,0,1,5,2
PALMAR DE VARELA,2023,31,13,5,0,0,6,0,7,10,0,1,1,2,17,31,0,19,12,0,31,18,13,0,0,0,31,0,31,0,0,5,0,26,4,3,1,4,5,1,1,3,2,4,2,1,0
PIOJÓ,2018,7,2,2,2,0,1,0,0,4,0,0,0,0,3,7,0,7,0,0,7,4,3,0,7,0,0,0,7,0,0,0,5,2,0,0,0,0,1,6,0,0,0,0,0,0,0
PIOJÓ,2020,6,4,1,0,0,1,0,0,5,0,1,0,0,0,6,0,0,6,0,6,2,4,0,6,0,0,0,6,0,0,1,0,5,0,0,2,4,0,0,0,0,0,0,0,0,0
PIOJÓ,2021,10,2,1,0,0,6,0,1,1,0,0,0,0,9,10,0,1,9,0,10,6,4,0,10,0,0,0,7,3,0,1,0,9,1,1,1,0,0,0,0,0,0,4,2,1,0
