municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13,humedad,precipitacion,dist_rio_1,dist_lag_1,temp_media
GALAPA,2017,39,0.2051282051282051,0.4871794871794871,0.0769230769230769,0.0256410256410256,0.1025641025641025,0.0,0.1025641025641025,0.1538461538461538,0.0,0.0,0.0,0.0512820512820512,0.7948717948717948,0.9743589743589745,0.0256410256410256,0.9487179487179488,0.0512820512820512,0.0,1.0,0.4102564102564102,0.5897435897435898,0.0,0.0,1.0,0.0,0.0,0.9743589743589745,0.0256410256410256,0.0,0.0256410256410256,0.0,0.9743589743589745,0.0,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.0512820512820512,0.0769230769230769,0.0256410256410256,0.0,0.0512820512820512,0.1538461538461538,0.282051282051282,0.0512820512820512,0.1794871794871795,89.38328552246094,356540.8429804077,0.728151113212237,12.860763614518282,27.386999130249023
GALAPA,2018,136,0.4852941176470588,0.1691176470588235,0.0220588235294117,0.0,0.1764705882352941,0.0073529411764705,0.1397058823529411,0.2941176470588235,0.0,0.0,0.0073529411764705,0.0220588235294117,0.6764705882352942,0.9852941176470588,0.0147058823529411,0.4044117647058823,0.5955882352941176,0.0,1.0,0.4558823529411764,0.5441176470588235,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3014705882352941,0.0,0.6985294117647058,0.0073529411764705,0.0073529411764705,0.0,0.0147058823529411,0.0220588235294117,0.0073529411764705,0.0294117647058823,0.0441176470588235,0.0220588235294117,0.1764705882352941,0.1397058823529411,0.1838235294117647,0.3455882352941176,89.31324768066406,270510.114852288,0.728151113212237,12.860763614518282,27.202812194824215
GALAPA,2019,62,0.532258064516129,0.1290322580645161,0.0,0.0,0.2096774193548387,0.0,0.1290322580645161,0.2580645161290322,0.0,0.0,0.0,0.0161290322580645,0.7258064516129032,0.9838709677419356,0.0161290322580645,0.3548387096774194,0.6451612903225806,0.0161290322580645,0.9838709677419356,0.4354838709677419,0.5645161290322581,0.0,0.0,1.0,0.0,0.0,0.967741935483871,0.032258064516129,0.0,0.3709677419354839,0.0,0.6290322580645161,0.3870967741935484,0.1290322580645161,0.0161290322580645,0.0483870967741935,0.0,0.0161290322580645,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.032258064516129,0.032258064516129,0.1612903225806451,89.6307601928711,295433.5570295216,0.728151113212237,12.860763614518282,27.300464630126953
GALAPA,2020,35,0.5428571428571428,0.1142857142857142,0.0285714285714285,0.0,0.2285714285714285,0.0,0.0857142857142857,0.5428571428571428,0.0,0.0285714285714285,0.0,0.0,0.4285714285714285,1.0,0.0,0.4857142857142857,0.5142857142857142,0.0,1.0,0.5142857142857142,0.4857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3142857142857143,0.0,0.6857142857142857,0.6571428571428571,0.1142857142857142,0.0571428571428571,0.0285714285714285,0.0,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,0.0571428571428571,89.58642578125,400126.4269212719,0.728151113212237,12.860763614518282,27.26926136016846
GALAPA,2021,166,0.4397590361445783,0.2771084337349397,0.0180722891566265,0.0,0.216867469879518,0.0,0.0481927710843373,0.4337349397590361,0.0,0.0060240963855421,0.0,0.036144578313253,0.5240963855421686,0.963855421686747,0.036144578313253,0.4698795180722891,0.5301204819277109,0.0,1.0,0.4759036144578313,0.5240963855421686,0.0,0.0,1.0,0.0,0.0,0.9578313253012049,0.0421686746987951,0.0,0.1867469879518072,0.0,0.8132530120481928,0.0421686746987951,0.0180722891566265,0.0,0.0,0.0,0.0060240963855421,0.0,0.0060240963855421,0.036144578313253,0.1746987951807229,0.1686746987951807,0.2951807228915662,0.253012048192771,89.12948608398438,374000.7461156257,0.728151113212237,12.860763614518282,27.129031181335446
GALAPA,2022,362,0.5082872928176796,0.2624309392265193,0.0138121546961325,0.0,0.1657458563535911,0.005524861878453,0.0441988950276243,0.4005524861878453,0.0,0.0193370165745856,0.0,0.0082872928176795,0.5718232044198895,0.9447513812154696,0.0552486187845303,0.4447513812154696,0.5552486187845304,0.0,1.0,0.4696132596685083,0.5303867403314917,0.0,0.0,1.0,0.0,0.0,0.9972375690607734,0.0027624309392265,0.0,0.292817679558011,0.0027624309392265,0.7044198895027625,0.0580110497237569,0.0359116022099447,0.0138121546961325,0.0138121546961325,0.005524861878453,0.0303867403314917,0.0248618784530386,0.1049723756906077,0.1077348066298342,0.1077348066298342,0.1878453038674033,0.1629834254143646,0.1464088397790055,89.61040496826172,539119.4295429203,0.728151113212237,12.860763614518282,27.062308311462406
GALAPA,2023,76,0.4078947368421052,0.2763157894736842,0.0526315789473684,0.0,0.2236842105263158,0.0,0.0394736842105263,0.2894736842105263,0.0131578947368421,0.0131578947368421,0.0,0.0263157894736842,0.6578947368421053,0.986842105263158,0.0131578947368421,0.4868421052631579,0.5131578947368421,0.0,1.0,0.4210526315789473,0.5789473684210527,0.0,0.0,1.0,0.0,0.0,0.986842105263158,0.0131578947368421,0.0,0.3421052631578947,0.0,0.6578947368421053,0.4605263157894737,0.1710526315789473,0.0131578947368421,0.0263157894736842,0.0263157894736842,0.0131578947368421,0.0394736842105263,0.1184210526315789,0.0526315789473684,0.0131578947368421,0.0263157894736842,0.0263157894736842,0.0131578947368421,89.55340576171875,321774.9037373719,0.728151113212237,12.860763614518282,27.515241622924805
JUAN DE ACOSTA,2017,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,89.68972778320312,334188.09898441785,1.859178163350998,10.258566363420968,27.277567863464355
JUAN DE ACOSTA,2018,49,0.3469387755102041,0.1224489795918367,0.0,0.0,0.2857142857142857,0.0,0.2448979591836734,0.2244897959183673,0.0,0.0,0.0,0.0612244897959183,0.7142857142857143,1.0,0.0,0.3673469387755102,0.6326530612244898,0.0,1.0,0.4897959183673469,0.5102040816326531,0.0,1.0,0.0,0.0,0.0,0.8163265306122449,0.1428571428571428,0.0408163265306122,0.2857142857142857,0.0,0.7142857142857143,0.0204081632653061,0.0,0.0,0.0204081632653061,0.1020408163265306,0.0612244897959183,0.0408163265306122,0.0816326530612244,0.1428571428571428,0.1224489795918367,0.0816326530612244,0.1020408163265306,0.2244897959183673,88.66046905517578,241351.89145142084,1.859178163350998,10.258566363420968,27.395814895629883
JUAN DE ACOSTA,2019,34,0.3823529411764705,0.2058823529411764,0.0,0.0,0.2941176470588235,0.0,0.1176470588235294,0.2352941176470588,0.0,0.0,0.0,0.0294117647058823,0.7352941176470589,1.0,0.0,0.3529411764705882,0.6470588235294118,0.0,1.0,0.5588235294117647,0.4411764705882353,0.0,1.0,0.0,0.0,0.0,0.8235294117647058,0.1176470588235294,0.0588235294117647,0.4411764705882353,0.0294117647058823,0.5294117647058824,0.2058823529411764,0.0,0.1176470588235294,0.0294117647058823,0.0294117647058823,0.0,0.088235294117647,0.1176470588235294,0.088235294117647,0.0294117647058823,0.0588235294117647,0.1764705882352941,0.0588235294117647,87.79708099365234,214347.74718937807,1.859178163350998,10.258566363420968,27.757192611694336
