municipio,año,periodo,semana,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,temp_media,humedad,precipitacion,acueducto_continuidad_horas_dia,acueducto_continuidad_porcentaje,dist_rio,dist_lago
BARANOA,2018,10,39,12,0.4166666666666667,0.0833333333333333,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,0.9166666666666666,0.0833333333333333,0.1666666666666666,0.8333333333333334,0.0,1.0,0.8333333333333334,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,26.95450526646207,94.29233769008091,12.910000017711097,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,10,40,10,0.5,0.2,0.0,0.0,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6,0.9,0.1,0.3,0.7,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.7,26.320646449497787,94.73369598388672,17.117142541067942,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,11,41,9,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,26.274196515764533,93.40266527448382,8.305714351790291,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,11,42,4,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,26.57459193638394,94.1912612915039,8.077142890010562,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,11,43,5,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.2,0.8,0.0,1.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.846972220284616,93.60000283377512,6.541428429739816,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,11,44,6,0.6666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.1666666666666666,0.8333333333333334,0.0,1.0,0.8333333333333334,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,26.741213553292432,93.4431871686663,9.155714307512556,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,12,45,8,0.625,0.25,0.0,0.0,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.375,0.625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,26.875087629045776,93.19571576799665,3.415714258594172,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,12,46,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.197863333565863,92.93497031075614,7.062857212764876,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,12,47,8,0.5,0.0,0.0,0.0,0.375,0.0,0.125,0.375,0.125,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.75,0.0,1.0,0.125,0.875,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,26.963346644810287,93.75496782575335,4.174285796071802,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,12,48,8,0.5,0.375,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.5,0.5,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.875,26.71946977887837,93.460451398577,3.548571432541524,23.73,98.93,1.275986857905614,17.60367485448971
