municipio,humedad_relativa,año
MEDIO SAN JUAN,0.0,2017
NÓVITA,0.0,2017
NUQUÍ,0.0,2017
RÍO IRÓ,0.0,2017
RÍO QUITO,0.0,2017
RIOSUCIO,0.0,2017
SAN JOSÉ DEL PALMAR,0.0,2017
SIPÍ,0.0,2017
TADÓ,0.0,2017
UNGUÍA,0.0,2017
UNIÓN PANAMERICANA,,2017
NEIVA,23.95,2017
ACEVEDO,0.0,2017
AGRADO,0.0,2017
AIPE,0.0,2017
ALGECIRAS,0.0,2017
ALTAMIRA,0.0,2017
BARAYA,86.27,2017
CAMPOALEGRE,0.0,2017
COLOMBIA,88.76,2017
ELÍAS,0.0,2017
GARZÓN,0.0,2017
GIGANTE,0.0,2017
GUADALUPE,0.0,2017
HOBO,0.0,2017
ÍQUIRA,0.0,2017
ISNOS,0.0,2017
LA ARGENTINA,0.0,2017
LA PLATA,0.0,2017
NÁTAGA,0.0,2017
OPORAPA,0.0,2017
PAICOL,0.0,2017
PALERMO,0.0,2017
PALESTINA,0.0,2017
PITAL,0.0,2017
PITALITO,0.0,2017
RIVERA,0.0,2017
SALADOBLANCO,0.0,2017
SAN AGUSTÍN,0.0,2017
SANTA MARÍA,0.0,2017
SUAZA,0.0,2017
TARQUI,0.0,2017
TESALIA,0.0,2017
TELLO,56.0,2017
TERUEL,0.0,2017
TIMANÁ,0.0,2017
VILLAVIEJA,46.24,2017
YAGUARÁ,0.0,2017
RIOHACHA,42.84,2017
ALBANIA,53.35,2017
BARRANCAS,86.73,2017
DIBULLA,73.84,2017
DISTRACCIÓN,83.89,2017
EL MOLINO,81.17,2017
FONSECA,86.23,2017
HATONUEVO,89.77,2017
LA JAGUA DEL PILAR,76.3,2017
MAICAO,12.33,2017
MANAURE,0.0,2017
SAN JUAN DEL CESAR,78.85,2017
URIBIA,0.0,2017
URUMITA,84.81,2017
VILLANUEVA,79.7,2017
SANTA MARTA,71.53,2017
ALGARROBO,85.56,2017
ARACATACA,77.95,2017
ARIGUANÍ,82.96,2017
CERRO DE SAN ANTONIO,89.77,2017
CHIVOLO,89.71,2017
CIÉNAGA,79.08,2017
CONCORDIA,,2017
EL BANCO,88.67,2017
EL PIÑÓN,90.35,2017
EL RETÉN,91.25,2017
FUNDACIÓN,77.97,2017
GUAMAL,89.28,2017
NUEVA GRANADA,87.05,2017
PEDRAZA,88.71,2017
PIJIÑO DEL CARMEN,87.74,2017
PIVIJAY,89.9,2017
PLATO,88.86,2017
PUEBLOVIEJO,88.91,2017
REMOLINO,90.68,2017
SABANAS DE SAN ÁNGEL,87.82,2017
SALAMINA,90.28,2017
SAN SEBASTIÁN DE BUENAVISTA,89.35,2017
SAN ZENÓN,90.08,2017
SANTA ANA,87.68,2017
SANTA BÁRBARA DE PINTO,88.21,2017
SITIONUEVO,86.76,2017
TENERIFE,90.29,2017
ZAPAYÁN,89.41,2017
ZONA BANANERA,81.69,2017
VILLAVICENCIO,89.71,2017
ACACÍAS,89.81,2017
BARRANCA DE UPÍA,90.39,2017
CABUYARO,91.03,2017
CASTILLA LA NUEVA,90.81,2017
CUBARRAL,88.55,2017
CUMARAL,90.77,2017
EL CALVARIO,89.51,2017
EL CASTILLO,86.92,2017
EL DORADO,85.71,2017
FUENTE DE ORO,89.11,2017
GRANADA,89.93,2017
GUAMAL,89.17,2017
MAPIRIPÁN,91.56,2017
MESETAS,90.83,2017
LA MACARENA,92.32,2017
URIBE,90.02,2017
LEJANÍAS,89.71,2017
PUERTO CONCORDIA,91.61,2017
PUERTO GAITÁN,88.34,2017
PUERTO LÓPEZ,88.59,2017
PUERTO LLERAS,90.17,2017
PUERTO RICO,92.21,2017
RESTREPO,87.95,2017
SAN CARLOS DE GUAROA,89.63,2017
SAN JUAN DE ARAMA,89.83,2017
SAN JUANITO,92.65,2017
SAN MARTÍN,89.3,2017
VISTAHERMOSA,90.92,2017
PASTO,0.0,2017
ALBÁN,,2017
ALDANA,0.0,2017
ANCUYA,,2017
ARBOLEDA,0.0,2017
BARBACOAS,0.0,2017
BELÉN,,2017
BUESACO,0.0,2017
COLÓN,,2017
CONSACÁ,0.0,2017
CONTADERO,,2017
CÓRDOBA,0.0,2017
CUASPUD CARLOSAMA,,2017
CUMBAL,0.0,2017
CUMBITARA,0.0,2017
CHACHAGÜÍ,0.0,2017
EL CHARCO,0.0,2017
EL PEÑOL,0.0,2017
EL ROSARIO,0.0,2017
EL TABLÓN DE GÓMEZ,0.0,2017
EL TAMBO,0.0,2017
FUNES,0.0,2017
GUACHUCAL,,2017
GUAITARILLA,0.0,2017
GUALMATÁN,,2017
ILES,0.0,2017
IMUÉS,0.0,2017
IPIALES,0.0,2017
LA CRUZ,0.0,2017
LA FLORIDA,0.0,2017
LA LLANADA,0.0,2017
LA TOLA,0.0,2017
LA UNIÓN,0.0,2017
LEIVA,0.0,2017
LINARES,0.0,2017
LOS ANDES,0.0,2017
MAGÜÍ,0.0,2017
MALLAMA,0.0,2017
MOSQUERA,0.0,2017
NARIÑO,,2017
OLAYA HERRERA,0.0,2017
OSPINA,,2017
FRANCISCO PIZARRO,0.0,2017
POLICARPA,0.0,2017
POTOSÍ,0.0,2017
PROVIDENCIA,0.0,2017
PUERRES,0.0,2017
PUPIALES,0.0,2017
RICAURTE,0.0,2017
ROBERTO PAYÁN,0.0,2017
SAMANIEGO,0.0,2017
SANDONÁ,0.0,2017
SAN BERNARDO,,2017
SAN LORENZO,0.0,2017
SAN PABLO,0.0,2017
