municipio,año,temp_max,temp_min,humedad,precipitacion,dist_rio_1,dist_lag_1
CAMPO DE LA CRUZ,2022,31.288576126098636,24.397056579589844,89.87853240966797,463243.6593551668,0.262271827829908,5.433398254450008
CAMPO DE LA CRUZ,2023,32.35683822631836,24.98933982849121,88.44047546386719,340193.4900922155,0.262271827829908,5.433398254450008
CANDELARIA,2017,31.711050033569336,24.34598731994629,90.12515258789062,391557.69860685687,1.044205284417448,4.608124745188931
CANDELARIA,2018,31.68805885314941,24.290430068969727,90.10948181152344,334465.0519275829,1.044205284417448,4.608124745188931
CANDELARIA,2019,31.890743255615234,24.541309356689453,89.70257568359375,305777.8848749644,1.044205284417448,4.608124745188931
CANDELARIA,2020,31.44220733642578,24.325366973876957,90.01632690429688,381519.73769484,1.044205284417448,4.608124745188931
CANDELARIA,2021,31.35453414916992,24.17473602294922,89.97857666015625,373539.155241398,1.044205284417448,4.608124745188931
CANDELARIA,2022,31.12262344360352,23.978015899658203,91.22797393798828,463243.6593551668,1.044205284417448,4.608124745188931
CANDELARIA,2023,32.1428337097168,24.54324722290039,89.83643341064453,340193.4900922155,1.044205284417448,4.608124745188931
GALAPA,2017,30.337718963623047,24.436279296875,89.38328552246094,356540.8429804077,0.728151113212237,12.860763614518282
GALAPA,2018,30.075519561767575,24.33010482788086,89.31324768066406,270510.114852288,0.728151113212237,12.860763614518282
GALAPA,2019,30.17623519897461,24.424694061279297,89.6307601928711,295433.5570295216,0.728151113212237,12.860763614518282
GALAPA,2020,30.18099403381348,24.35752868652344,89.58642578125,400126.4269212719,0.728151113212237,12.860763614518282
GALAPA,2021,30.006013870239254,24.25204849243164,89.12948608398438,374000.7461156257,0.728151113212237,12.860763614518282
GALAPA,2022,30.042259216308597,24.08235740661621,89.61040496826172,539119.4295429203,0.728151113212237,12.860763614518282
GALAPA,2023,30.46640014648437,24.564083099365234,89.55340576171875,321774.9037373719,0.728151113212237,12.860763614518282
JUAN DE ACOSTA,2017,30.386838912963867,24.168296813964844,89.68972778320312,334188.09898441785,1.859178163350998,10.258566363420968
