municipio,año,periodo,periodo_continuo,casos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_infante_mayor,ciclo_vital_infante_menor,regimen_salud_otro,regimen_salud_subsidiado,evento_grave,sexo_masculino,dist_rio,dist_lago,acueducto_porcentaje,PPC,Joinpoints,segmento,significancia,pvalor,temp_media_p3,precipitacion_p3,humedad_p3
SABANALARGA,2021,1,40,9,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,26.209115055629205,271.5450030565262,93.22219467163086
SABANALARGA,2021,2,41,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,26.887180219377807,172.39999973773956,91.75599343436105
SABANALARGA,2021,4,43,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.412444959368035,38.89999997615814,87.77334403991699
SABANALARGA,2021,5,44,2,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,28.170462908063637,183.2199999392033,85.84149060930524
SABANALARGA,2021,6,45,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,28.04636317661832,106.03999986499548,84.4448961530413
SABANALARGA,2021,7,46,4,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,28.062151663643988,176.6399995237589,87.36157580784389
SABANALARGA,2021,8,47,12,0.4166666666666667,0.1666666666666666,0.0,0.4166666666666667,0.0,0.0,0.5,0.0,0.5,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.87884837559293,152.1000015437603,87.85826546805245
SABANALARGA,2021,9,48,14,0.4285714285714285,0.3571428571428571,0.0,0.2142857142857142,0.0,0.1428571428571428,0.7142857142857143,0.0,0.5714285714285714,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.429121180943103,272.6700001358986,90.2497762952532
SABANALARGA,2021,10,49,15,0.4666666666666667,0.1333333333333333,0.0,0.4,0.0,0.0666666666666666,0.6666666666666666,0.0666666666666666,0.7333333333333333,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.28118722098216,220.46500086784363,91.34566743033272
SABANALARGA,2021,11,50,48,0.4375,0.125,0.0,0.4375,0.0,0.1041666666666666,0.6875,0.0,0.4375,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.32250039236888,207.66499980539083,91.53799029759
SABANALARGA,2021,12,51,39,0.5384615384615384,0.1794871794871795,0.0,0.2564102564102564,0.0256410256410256,0.0769230769230769,0.5384615384615384,0.0512820512820512,0.4358974358974359,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,26.61824787684851,355.90499740839005,93.70207813807896
SABANALARGA,2021,13,52,26,0.4615384615384615,0.0769230769230769,0.0,0.4615384615384615,0.0,0.2307692307692307,0.6538461538461539,0.0384615384615384,0.6153846153846154,0.705266525333551,8.32490008654472,97.55,-3.2062,1.0,1.0,1.0,0.0,27.028094591413243,216.44500090926888,92.75464139665876
SABANALARGA,2022,1,53,22,0.4545454545454545,0.0909090909090909,0.0454545454545454,0.4090909090909091,0.0,0.0454545454545454,0.6363636363636364,0.1363636363636363,0.4090909090909091,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,26.83859895978657,200.94000029563904,92.89725576128278
SABANALARGA,2022,2,54,8,0.625,0.125,0.0,0.25,0.0,0.125,0.375,0.0,0.625,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.137144587590168,93.65000007301568,91.0615727351262
SABANALARGA,2022,3,55,5,0.2,0.2,0.0,0.6,0.0,0.0,0.6,0.0,0.8,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.094684855143253,9.0,89.0216776529948
SABANALARGA,2022,4,56,7,0.5714285714285714,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.4285714285714285,0.0,0.2857142857142857,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.21376953125002,204.34000000357628,88.33005714416504
SABANALARGA,2022,5,57,6,0.8333333333333334,0.0,0.0,0.1666666666666666,0.0,0.0,0.6666666666666666,0.0,0.5,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.735757991245837,79.90999990701675,85.55504826136998
SABANALARGA,2022,6,58,20,0.45,0.15,0.0,0.4,0.0,0.0,0.55,0.15,0.4,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,28.18555167061944,186.06500067561865,86.67320142473493
SABANALARGA,2022,7,59,40,0.425,0.175,0.025,0.375,0.0,0.025,0.7,0.025,0.55,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,28.02490768432619,187.5249996036291,87.6490227835519
SABANALARGA,2022,8,60,46,0.4347826086956521,0.1739130434782608,0.0,0.391304347826087,0.0,0.0434782608695652,0.5652173913043478,0.0217391304347826,0.5869565217391305,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.69479032244003,217.17499780654907,90.60471834455218
SABANALARGA,2022,9,61,41,0.5853658536585366,0.048780487804878,0.0,0.3658536585365853,0.0,0.024390243902439,0.8048780487804879,0.024390243902439,0.4634146341463415,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.0689031328474,369.1650011539459,92.02802331107004
SABANALARGA,2022,10,62,24,0.5,0.125,0.0,0.375,0.0,0.0,0.7083333333333334,0.0833333333333333,0.4166666666666667,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.399318041120274,253.805000603199,92.66833632332938
SABANALARGA,2022,11,63,42,0.5714285714285714,0.0952380952380952,0.0238095238095238,0.3095238095238095,0.0,0.0238095238095238,0.7142857142857143,0.0476190476190476,0.6428571428571429,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.255871800013967,360.0199974477291,93.43356132507324
SABANALARGA,2022,12,64,25,0.52,0.0,0.04,0.4,0.04,0.0,0.72,0.04,0.56,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,27.21314773559572,293.9500004053116,94.13975715637208
SABANALARGA,2022,13,65,25,0.44,0.2,0.0,0.36,0.0,0.08,0.56,0.0,0.44,0.705266525333551,8.32490008654472,98.88,-3.2062,1.0,1.0,1.0,0.0,26.516099548339863,270.04499757289886,94.05159759521484
SABANALARGA,2023,1,66,14,0.3571428571428571,0.1428571428571428,0.0,0.5,0.0,0.0,0.3571428571428571,0.0,0.5714285714285714,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,26.4718697684152,310.08000046014786,94.10737419128418
