municipio,año,periodo,temp_media,humedad,precipitacion
BARANOA,2022,11,26.14248482840404,95.09026309422084,387.00000262260437
BARANOA,2022,12,25.952032797677195,94.45142936706543,324.09999710321426
BARANOA,2022,13,26.446364514581106,91.20864631389749,56.550000943243504
BARANOA,2023,1,26.80728792463032,89.31498609270368,60.13999983668327
BARANOA,2023,2,26.916281454903757,83.26703534807477,16.0
BARANOA,2023,3,27.03582371303015,88.0662201472691,97.37000115215778
BARANOA,2023,4,27.62958025251118,85.21705300467355,178.73999901115894
BARANOA,2023,5,28.052698843819776,89.6531799861363,195.21999795734882
BARANOA,2023,6,27.751264735630595,92.38792364937919,404.340000718832
BARANOA,2023,7,28.037841687883667,91.95152991158622,277.40999898314476
BARANOA,2023,8,28.36359776088172,92.46134294782367,166.27999971620739
BARANOA,2023,9,27.66915337698802,94.30933734348842,226.630000770092
BARANOA,2023,10,27.673372977120554,94.66727638244629,275.6600003838539
BARANOA,2023,11,26.87189745221821,94.97186606270927,360.7199994325638
BARANOA,2023,12,27.232822309221557,93.91924830845424,163.4100034236908
BARANOA,2023,13,27.646693473026694,90.54993491337217,273.2500002402812
BARRANQUILLA,2017,1,26.71568341936386,84.23349625723702,13.0
BARRANQUILLA,2017,2,27.08412268502374,83.16409819466728,82.0
BARRANQUILLA,2017,3,27.351595633370554,82.51141248430524,34.21000036038458
BARRANQUILLA,2017,4,28.36382882254466,83.51306070600238,92.84000058658421
BARRANQUILLA,2017,5,28.353155844552195,86.76950018746513,256.819997664541
BARRANQUILLA,2017,6,28.35886699131559,86.90263720921108,205.26000018790364
BARRANQUILLA,2017,7,28.314740208217096,87.6779065813337,115.41000037267804
BARRANQUILLA,2017,8,28.089503043038526,89.3683591570173,183.14000022038817
BARRANQUILLA,2017,9,27.964204951695056,91.0048441205706,178.43000169470906
BARRANQUILLA,2017,10,27.914245496477417,90.82644626072475,262.93999898433685
BARRANQUILLA,2017,11,27.925486864362465,89.6013537815639,153.37999811954796
BARRANQUILLA,2017,12,27.416422053745833,89.29883193969727,197.24000019580126
BARRANQUILLA,2017,13,27.61947863348601,84.71373038456358,41.41999990493059
BARRANQUILLA,2018,1,27.528505206930244,84.80143237936086,20.50000008381903
BARRANQUILLA,2018,2,26.83402295793808,80.9226403917585,0.0
BARRANQUILLA,2018,3,27.227425602504205,83.4083251953125,1.1999999973922963
BARRANQUILLA,2018,4,27.591158621651804,83.73745100838798,35.56000076234341
BARRANQUILLA,2018,5,27.755804225376693,86.90121023995536,205.66000042296946
BARRANQUILLA,2018,6,28.27149462018696,87.17315346854073,158.94999966397882
BARRANQUILLA,2018,7,27.96958040509907,87.89500999450684,60.709999687969685
BARRANQUILLA,2018,8,27.7921092442104,89.28620774405343,76.70000034756958
BARRANQUILLA,2018,9,27.82632707868305,90.40752955845424,131.59000009298325
BARRANQUILLA,2018,10,27.754736110142318,90.94199698311942,232.57999861240387
BARRANQUILLA,2018,11,27.417607879638688,89.52870150974819,167.21999926120043
BARRANQUILLA,2018,12,27.667240033830932,88.6916446685791,51.82000016234815
BARRANQUILLA,2018,13,27.154703303745833,84.84055355616978,0.2899999916553497
BARRANQUILLA,2019,1,26.718374528556055,84.04571270120555,12.770000064745545
BARRANQUILLA,2019,2,27.003444017682778,83.37645149230957,2.889999995008111
BARRANQUILLA,2019,3,26.871344866071446,83.13116564069476,3.949999872595072
BARRANQUILLA,2019,4,27.863031005859394,83.60775293622699,28.770000176504254
BARRANQUILLA,2019,5,28.3258622305734,84.80462455749512,164.64999949000776
BARRANQUILLA,2019,6,28.225742776053316,88.18605559212821,237.56000079587102
BARRANQUILLA,2019,7,28.280575234549406,87.56993402753558,40.87000082060695
BARRANQUILLA,2019,8,28.118283299037408,90.2551656450544,77.74000051245093
BARRANQUILLA,2019,9,28.182145690917988,90.38356699262347,148.94000041298568
BARRANQUILLA,2019,10,27.673466709681936,91.56949969700405,215.80000007152557
BARRANQUILLA,2019,11,27.400946371895945,90.34924425397601,307.56000089645386
BARRANQUILLA,2019,12,27.707356480189755,88.40409197126117,90.38000033609569
BARRANQUILLA,2019,13,27.89889460972379,87.62477711268834,56.77000021748245
BARRANQUILLA,2020,1,27.234108323317326,83.41848637507512,21.24000001884997
BARRANQUILLA,2020,2,27.423814937046615,82.67171342032296,43.0
BARRANQUILLA,2020,3,27.092935725620833,82.5530640738351,10.25
BARRANQUILLA,2020,4,27.91364386422296,83.51096507481166,10.269999971613288
BARRANQUILLA,2020,5,28.57212655203685,84.58962603977749,75.29000002145767
BARRANQUILLA,2020,6,28.37214976719449,87.51022257123675,290.50999999046326
BARRANQUILLA,2020,7,28.037988281250023,88.33794239589146,188.99000183306634
BARRANQUILLA,2020,8,28.09514443533763,90.6490843636649,141.4099986385554
BARRANQUILLA,2020,9,27.573814828055266,91.78197751726422,299.90000036358833
BARRANQUILLA,2020,10,27.632034737723234,92.14943558829171,322.9700038433075
BARRANQUILLA,2020,11,27.380219486781552,89.91610745021275,256.8500002399087
BARRANQUILLA,2020,12,27.07749546595984,89.24204744611468,236.40000154078007
BARRANQUILLA,2020,13,27.39483413696291,86.46540015084403,60.110000263899565
BARRANQUILLA,2020,14,27.04956970214846,83.5305347442627,14.0
BARRANQUILLA,2021,1,26.944444274902363,83.37344796316964,10.480000011622906
BARRANQUILLA,2021,2,27.415940856933613,81.58685084751674,14.800000004470348
BARRANQUILLA,2021,3,27.16872449602401,81.38553701128278,19.939999962225556
BARRANQUILLA,2021,4,27.657355063302195,84.86104365757534,79.91999984905124
BARRANQUILLA,2021,5,27.889960043770945,84.84652927943638,60.61999970301986
BARRANQUILLA,2021,6,27.89121616908484,87.32094138009208,243.3400000333786
BARRANQUILLA,2021,7,27.79075121198383,88.14747619628906,143.8999992068857
BARRANQUILLA,2021,8,27.74955629621235,89.86224474225726,159.87000142596662
BARRANQUILLA,2021,9,27.353504071916877,91.01992470877511,353.1700032055378
