municipio,año,fecha,humedad,latitud,longitud
BARANOA,2021,2021-02-18,84.39086151123047,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-02-18,83.2453384399414,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-02-18,84.73505401611328,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-02-18,81.26679992675781,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-02-18,79.94493103027344,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-02-18,82.08603159586589,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-02-18,81.98315684000652,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-02-18,81.88490295410156,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-02-18,85.54644775390625,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-02-18,81.56440056694879,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-02-18,84.42309061686198,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-02-18,87.44007873535156,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-02-18,78.93073272705078,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-02-18,82.54061974419488,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-02-18,83.33196258544922,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-02-18,83.65092468261719,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-02-18,83.17631022135417,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-02-18,84.42309061686198,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-02-18,81.3507080078125,10.906909741834337,-74.77842447604834
SUAN,2021,2021-02-18,84.39868927001953,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-02-18,80.1999740600586,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-02-18,82.66223907470703,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-02-19,80.79420471191406,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-02-19,88.87992858886719,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-02-19,84.29676055908203,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-02-19,85.75312042236328,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-02-19,83.4256591796875,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-02-19,86.84512329101562,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-02-19,87.74224344889323,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-02-19,84.67870585123698,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-02-19,85.204833984375,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-02-19,88.60066986083984,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-02-19,87.5380104912652,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-02-19,88.29443613688152,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-02-19,89.20370483398438,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-02-19,81.37300109863281,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-02-19,87.10067325168187,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-02-19,87.4027099609375,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-02-19,88.35494232177734,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-02-19,84.94327545166016,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-02-19,88.29443613688152,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-02-19,83.20774841308594,10.906909741834337,-74.77842447604834
SUAN,2021,2021-02-19,85.32823181152344,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-02-19,82.27606201171875,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-02-19,88.02666473388672,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-02-20,80.80675506591797,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-02-20,87.87687683105469,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-02-20,86.93864440917969,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-02-20,88.30987548828125,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-02-20,83.43450164794922,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-02-20,83.89488220214844,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-02-20,85.59069315592448,10.635031161141915,-75.15402741021481
