"departamento","periodo","casos_obs","casos_esp","REM"
"TOLIMA","2013-2016",35432,12115.8501721876,2.92443365479506
"TOLIMA","2017-2020",27844,7317.3674256002,3.80519364144354
"TOLIMA","2021-2023",17005,6384.11576240349,2.66364217581136
"VALLE DEL CAUCA","2013-2016",77675,40294.9130765102,1.92766267673823
"VALLE DEL CAUCA","2017-2020",42780,24729.6411788969,1.72990783370146
"VALLE DEL CAUCA","2021-2023",36634,21728.5050510043,1.68598805642668
"VAUPÉS","2013-2016",49,339.062739221589,0.144516027070662
"VAUPÉS","2017-2020",274,225.716791420195,1.21391057473398
"VAUPÉS","2021-2023",308,201.016375115128,1.53221348173053
"VICHADA","2013-2016",774,909.660418288714,0.850866965780568
"VICHADA","2017-2020",483,621.515617303913,0.777132523387291
"VICHADA","2021-2023",331,622.610634827931,0.531632422391046
