"departamento","periodo","casos_obs","casos_esp","REM"
"CÓRDOBA","2013-2016",183,299.788912483538,0.610429513499933
"CÓRDOBA","2017-2020",111,109.614877431966,1.01263626435101
"CÓRDOBA","2021-2023",148,148.643905671986,0.995668132715733
"GUAINÍA","2013-2016",13,7.36270231850782,1.76565606452967
"GUAINÍA","2017-2020",0,2.9995456102564,0
"GUAINÍA","2021-2023",4,4.28409101744633,0.933686979037232
"GUAVIARE","2013-2016",14,13.369033378602,1.04719612880972
"GUAVIARE","2017-2020",6,4.99522174304377,1.20114787864131
"GUAVIARE","2021-2023",9,6.5060361916407,1.38333076160315
"HUILA","2013-2016",554,184.069888420523,3.00972638574291
"HUILA","2017-2020",448,67.2487002043343,6.66183879597313
"HUILA","2021-2023",244,90.3500152063404,2.70060828924882
"LA GUAJIRA","2013-2016",120,138.081922524366,0.86904931366975
"LA GUAJIRA","2017-2020",41,55.2190401016288,0.742497513983236
"LA GUAJIRA","2021-2023",192,78.1908718792694,2.45552959553204
"MAGDALENA","2013-2016",283,219.891956228182,1.28699569031225
"MAGDALENA","2017-2020",182,83.3244042811816,2.18423403767561
"MAGDALENA","2021-2023",124,115.122084421109,1.07711739779152
"META","2013-2016",427,170.103189468711,2.51024099744199
"META","2017-2020",196,63.9330433890534,3.06570733395681
"META","2021-2023",139,86.6413591256154,1.6043146299041
"NARIÑO","2013-2016",39,280.919942925611,0.138829588223031
"NARIÑO","2017-2020",21,99.051988559163,0.212009877898179
"NARIÑO","2021-2023",34,130.357941963997,0.260820318944513
"NO IDENTIFICADO","2013-2016",11,0,Inf
"NO IDENTIFICADO","2017-2020",24,0,Inf
"NO IDENTIFICADO","2021-2023",23,0,Inf
"NORTE DE SANTANDER","2013-2016",312,245.908716986027,1.26876348192947
"NORTE DE SANTANDER","2017-2020",102,93.0313253388783,1.09640488973421
"NORTE DE SANTANDER","2021-2023",191,128.579548149545,1.48546174526805
"PUTUMAYO","2013-2016",55,56.4710364912951,0.973950602243296
"PUTUMAYO","2017-2020",22,21.3520075021471,1.03034808309185
"PUTUMAYO","2021-2023",24,29.0198717727547,0.827019505390522
"QUINDÍO","2013-2016",90,91.9750625130357,0.978526108500815
"QUINDÍO","2017-2020",3,32.737178961801,0.0916389284336477
"QUINDÍO","2021-2023",9,42.8610406530739,0.209980902536825
"RISARALDA","2013-2016",78,161.281312062827,0.483627017925146
"RISARALDA","2017-2020",11,57.5529888773916,0.19112821444311
"RISARALDA","2021-2023",5,76.3288836845757,0.0655060019043667
"SANTANDER","2013-2016",575,364.478400115773,1.57759691607886
"SANTANDER","2017-2020",88,134.38655943766,0.654827390240776
"SANTANDER","2021-2023",190,181.25912778085,1.04822307337658
"SUCRE","2013-2016",270,150.777085952142,1.79072302860198
"SUCRE","2017-2020",180,55.8686905339298,3.22184032379788
"SUCRE","2021-2023",218,76.6650198402518,2.84353934107433
"TOLIMA","2013-2016",1221,231.405513511044,5.27645163451012
"TOLIMA","2017-2020",209,80.742261487509,2.58848335617071
"TOLIMA","2021-2023",195,105.851174007685,1.84220913776396
"VALLE DEL CAUCA","2013-2016",1423,769.05375242136,1.85032580040042
"VALLE DEL CAUCA","2017-2020",359,272.91125112865,1.31544594997576
"VALLE DEL CAUCA","2021-2023",346,360.290408698169,0.960336416531862
"VAUPÉS","2013-2016",0,6.40226488498776,0
"VAUPÉS","2017-2020",1,2.4914905690937,0.401366159039388
"VAUPÉS","2021-2023",4,3.33103243547349,1.20082889539063
"VICHADA","2013-2016",17,17.2329164682561,0.986484210685686
"VICHADA","2017-2020",2,6.86238801404336,0.291443735898808
"VICHADA","2021-2023",3,10.2744482963076,0.291986480780493
