municipio,año,fecha,temp_min_C,temp_max_C,temp_media_C,latitud,longitud
PALMAR DE VARELA,2022,2022-06-08,23.433374023437523,30.501641845703148,26.967507934570335,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-08,22.947647207754642,29.51649825484668,26.23207273130066,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-08,23.138167317708337,30.180881754557333,26.659524536132835,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-08,23.427026367187523,30.272088623046898,26.84955749511721,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-08,23.655419921875023,29.866998291015648,26.761209106445335,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-08,23.453014910662603,29.907486074942142,26.680250492802372,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-08,23.451409912109398,30.320977783203148,26.886193847656273,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-08,23.120874023437523,29.846124267578148,26.483499145507835,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-08,24.000085449218773,29.965926106770837,26.983005777994805,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-08,23.138167317708337,30.180881754557333,26.659524536132835,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-08,23.741204833984398,30.780480957031273,27.260842895507835,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-08,23.884973144531273,29.744226074218773,26.814599609375023,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-08,23.539849853515648,29.306176757812523,26.423013305664085,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-08,22.875644938151083,29.62918497721364,26.25241495768236,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-09,24.502069091796898,29.318658447265648,26.910363769531273,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-09,23.810174560546898,28.571374511718773,26.190774536132835,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-09,24.705102539062523,29.204553222656273,26.954827880859398,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-09,24.288110351562523,29.185388183593716,26.73674926757812,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-09,23.892175292968773,29.376611328125023,26.634393310546898,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-09,24.068811035156273,28.343408203125023,26.206109619140648,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-09,24.094082980685812,28.516442871093716,26.305262925889764,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-09,24.330102539062523,29.469923909505212,26.900013224283867,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-09,25.047662353515648,29.157373046875023,27.102517700195335,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-09,24.641595458984398,29.254205322265648,26.947900390625023,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-09,24.061999963831056,28.463342285156273,26.262671124493664,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-09,24.383955891927087,28.980401611328148,26.682178751627617,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-09,24.423303222656273,29.300195312500023,26.861749267578148,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-09,24.470788574218773,28.997705078125023,26.734246826171898,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-09,24.444025788483827,28.783186848958337,26.613606318721082,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-09,24.700097656250023,29.115625000000023,26.907861328125023,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-09,24.190332031250023,28.675744628906273,26.433038330078148,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-09,24.807173665364587,29.151879882812523,26.979526774088555,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-09,24.383955891927087,28.980401611328148,26.682178751627617,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-09,24.398034667968773,29.917535400390648,27.15778503417971,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-09,24.668756103515648,29.093713378906273,26.88123474121096,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-09,24.269067382812523,28.497369384765648,26.383218383789085,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-09,24.023105875651083,28.530175781250023,26.276640828450553,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-10,24.749291992187523,30.548150634765648,27.648721313476585,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-10,23.404382324218773,30.198846435546898,26.801614379882835,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-10,24.357904052734398,30.909844970703148,27.633874511718773,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-10,23.957574462890648,30.814904785156273,27.38623962402346,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-10,24.098352050781273,30.502740478515648,27.30054626464846,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-10,23.655114746093716,30.169763183593716,26.912438964843716,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-10,23.701637098524373,30.347636583116298,27.024636840820335,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-10,24.331658935546898,30.80267740885421,27.567168172200553,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-10,24.440881347656273,30.950952148437523,27.695916748046898,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-10,24.258721923828148,31.015191650390648,27.636956787109398,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-10,23.661358416521978,30.27594627097801,26.968652343749994,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-10,23.988916015625023,30.67898966471364,27.33395284016933,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-10,24.067590332031273,31.019158935546898,27.543374633789085,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-10,24.716577148437523,30.199517822265648,27.458047485351585,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-10,23.988330530237306,30.620432083694993,27.30438130696615,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-10,24.303643798828148,30.822930908203148,27.563287353515648,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-10,23.822473144531273,30.562707519531273,27.192590332031273,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-10,24.381036376953148,30.86743570963546,27.624236043294303,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-10,23.988916015625023,30.67898966471364,27.33395284016933,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-10,24.592980957031273,31.082360839843716,27.837670898437494,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-10,24.344323730468773,30.741510009765648,27.54291687011721,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-10,24.239953613281273,29.696282958984398,26.968118286132835,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-10,23.62732340494796,30.310439046223962,26.96888122558596,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-11,24.692041015625023,29.522607421875023,27.107324218750023,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-11,23.650231933593716,28.755914306640648,26.203073120117182,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-11,24.580743408203148,29.073175048828148,26.826959228515648,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-11,24.171044921875023,29.061090087890648,26.616067504882835,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-11,24.049584960937523,29.553887939453148,26.801736450195335,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-11,23.767053222656273,28.515679931640648,26.14136657714846,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-11,23.850779893663173,28.697306993272548,26.27404344346786,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-11,24.379256184895837,29.654779052734398,27.017017618815117,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-11,24.842370605468773,28.956567382812523,26.899468994140648,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-11,24.490014648437523,29.450372314453148,26.970193481445335,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-11,23.806158673321704,28.64164858217589,26.223903627748797,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-11,24.227532958984398,29.171767171223962,26.69965006510418,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-11,24.290979003906273,29.341333007812523,26.816156005859398,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-11,24.661187744140648,29.195855712890648,26.928521728515648,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-11,24.22593135127312,28.839385534215864,26.53265844274449,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-11,24.542352294921898,29.309014892578148,26.925683593750023,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-11,23.984643554687523,28.864282226562523,26.424462890625023,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-11,24.65900065104171,28.998406982421898,26.828703816731803,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-11,24.227532958984398,29.171767171223962,26.69965006510418,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-11,24.545831298828148,30.101434326171898,27.323632812500023,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-11,24.553887939453148,28.965478515625023,26.759683227539085,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-11,23.941369628906273,28.791345214843716,26.366357421874994,10.907060348938533,-74.98448392990626
