municipio,año,fecha,temp_max,latitud,longitud
SOLEDAD,2019,2019-04-08,305.0257263183594,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-08,306.6703491210937,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-08,304.0386962890625,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-08,305.71844482421875,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-09,303.5245361328125,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-09,305.0517578125,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-09,306.8081970214844,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-09,306.5330505371094,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-09,304.1108703613281,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-09,305.40386962890625,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-09,305.6487087673611,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-09,304.8469746907552,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-09,306.10693359375,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-09,306.1501770019531,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-09,305.51734980830435,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-09,305.6577860514323,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-09,306.546875,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-09,303.1993103027344,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-09,305.93280933521413,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-09,305.7714233398437,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-09,306.04278564453125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2019,2019-04-09,306.51366170247394,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-09,305.6577860514323,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-09,304.6586303710937,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-09,306.6258544921875,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-09,303.7763977050781,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-09,305.4994710286458,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-10,304.5202331542969,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-10,305.58258056640625,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-10,307.04248046875,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-10,306.7579345703125,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-10,305.0243835449219,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-10,304.8716125488281,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-10,305.47028944227435,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-10,305.65221150716144,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-10,305.8811950683594,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-10,306.7236022949219,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-10,305.28008807146995,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-10,306.21143595377606,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-10,306.9584350585937,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-10,304.173095703125,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-10,305.7974593551071,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-10,306.328125,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-10,306.0408935546875,10.62250793138987,-74.95510483828492
