municipio,año,fecha,temp_min,latitud,longitud
JUAN DE ACOSTA,2021,2021-12-07,297.4562072753906,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-07,297.36092461480035,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-07,297.96921793619794,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-07,297.868408203125,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-07,297.7413330078125,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-07,297.3795991120515,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-07,297.62554931640625,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-07,297.21954345703125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-07,298.8474426269531,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-07,297.5114113136574,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-07,297.9314270019531,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-07,297.3049011230469,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-07,297.57737223307294,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-07,297.62554931640625,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-07,298.1411437988281,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-07,297.4713134765625,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-07,297.9175720214844,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-07,297.3216654459636,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-08,298.7120056152344,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-08,297.3651428222656,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-08,297.745361328125,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-08,297.30194091796875,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-08,297.6689758300781,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-08,297.22900390625,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-08,297.264909532335,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-08,297.9132588704427,10.848289285861629,-74.8061750526255
